timestamp_offset,node_id,thermal_score,visual_score,image_filename,lat,lng
0,DRONE-FLAME-01,0.15,0.00,,35.142000,-111.650000
1,DRONE-FLAME-01,0.18,0.00,,35.142010,-111.649990
2,DRONE-FLAME-01,0.23,0.00,,35.142020,-111.649980
3,DRONE-FLAME-01,0.16,0.00,,35.142030,-111.649970
4,DRONE-FLAME-01,0.21,0.00,,35.142040,-111.649960
5,DRONE-FLAME-01,0.19,0.00,,35.142050,-111.649950
6,DRONE-FLAME-01,0.19,0.00,,35.142060,-111.649940
7,DRONE-FLAME-01,0.17,0.00,,35.142070,-111.649930
8,DRONE-FLAME-01,0.17,0.00,,35.142080,-111.649920
9,DRONE-FLAME-01,0.20,0.00,,35.142090,-111.649910
10,DRONE-FLAME-01,0.16,0.00,,35.142100,-111.649900
11,DRONE-FLAME-01,0.22,0.00,,35.142110,-111.649890
12,DRONE-FLAME-01,0.25,0.00,,35.142120,-111.649880
13,DRONE-FLAME-01,0.21,0.00,,35.142130,-111.649870
14,DRONE-FLAME-01,0.24,0.00,,35.142140,-111.649860
15,DRONE-FLAME-01,0.18,0.00,,35.142150,-111.649850
16,DRONE-FLAME-01,0.19,0.00,,35.142160,-111.649840
17,DRONE-FLAME-01,0.18,0.00,,35.142170,-111.649830
18,DRONE-FLAME-01,0.25,0.00,,35.142180,-111.649820
19,DRONE-FLAME-01,0.18,0.00,,35.142190,-111.649810
20,DRONE-FLAME-01,0.17,0.00,,35.142200,-111.649800
21,DRONE-FLAME-01,0.15,0.00,,35.142210,-111.649790
22,DRONE-FLAME-01,0.18,0.00,,35.142220,-111.649780
23,DRONE-FLAME-01,0.21,0.00,,35.142230,-111.649770
24,DRONE-FLAME-01,0.18,0.00,,35.142240,-111.649760
25,DRONE-FLAME-01,0.15,0.00,,35.142250,-111.649750
26,DRONE-FLAME-01,0.18,0.00,,35.142260,-111.649740
27,DRONE-FLAME-01,0.24,0.00,,35.142270,-111.649730
28,DRONE-FLAME-01,0.16,0.00,,35.142280,-111.649720
29,DRONE-FLAME-01,0.23,0.00,,35.142290,-111.649710
30,DRONE-FLAME-01,0.15,0.00,,35.142300,-111.649700
31,DRONE-FLAME-01,0.19,0.00,,35.142310,-111.649690
32,DRONE-FLAME-01,0.24,0.00,,35.142320,-111.649680
33,DRONE-FLAME-01,0.16,0.00,,35.142330,-111.649670
34,DRONE-FLAME-01,0.23,0.00,,35.142340,-111.649660
35,DRONE-FLAME-01,0.24,0.00,,35.142350,-111.649650
36,DRONE-FLAME-01,0.16,0.00,,35.142360,-111.649640
37,DRONE-FLAME-01,0.24,0.00,,35.142370,-111.649630
38,DRONE-FLAME-01,0.20,0.00,,35.142380,-111.649620
39,DRONE-FLAME-01,0.23,0.00,,35.142390,-111.649610
40,DRONE-FLAME-01,0.21,0.00,,35.142400,-111.649600
41,DRONE-FLAME-01,0.22,0.00,,35.142410,-111.649590
42,DRONE-FLAME-01,0.24,0.00,,35.142420,-111.649580
43,DRONE-FLAME-01,0.20,0.00,,35.142430,-111.649570
44,DRONE-FLAME-01,0.17,0.00,,35.142440,-111.649560
45,DRONE-FLAME-01,0.16,0.00,,35.142450,-111.649550
46,DRONE-FLAME-01,0.25,0.00,,35.142460,-111.649540
47,DRONE-FLAME-01,0.22,0.00,,35.142470,-111.649530
48,DRONE-FLAME-01,0.17,0.00,,35.142480,-111.649520
49,DRONE-FLAME-01,0.20,0.00,,35.142490,-111.649510
50,DRONE-FLAME-01,0.21,0.00,,35.142500,-111.649500
51,DRONE-FLAME-01,0.16,0.00,,35.142510,-111.649490
52,DRONE-FLAME-01,0.21,0.00,,35.142520,-111.649480
53,DRONE-FLAME-01,0.17,0.00,,35.142530,-111.649470
54,DRONE-FLAME-01,0.24,0.00,,35.142540,-111.649460
55,DRONE-FLAME-01,0.16,0.00,,35.142550,-111.649450
56,DRONE-FLAME-01,0.18,0.00,,35.142560,-111.649440
